book_id,title,author_id,genre,price,publication_year,page_count,isbn
45,The Fading Mirror,449,cooking,15.18,2019,781,226-8-760-40041-7
46,The Pale Winter,455,cooking,31.71,1982,782,1736737795555
47,Bone of Bones,1184,cooking,41.87,1982,558,2302371573397
48,Kingdom of Gardens,1754,cooking,28.88,1998,802,8333512150619
49,Distant Whisper,1773,thriller,17.94,1996,90,8201107594190
50,Buried Dream,916,reference,23.18,2021,583,331-3-837-85949-9
51,The Golden Ember,1124,cooking,37.73,2014,619,5031470553811
52,The Silent Guest,952,mystery,41.14,1992,418,258-1-920-56462-1
53,Crimson Path,1765,cooking,18.75,2001,,852-3-422-21086-2
54,Quiet Machine,1850,travel,31.63,2011,332,028-7-009-31036-7
55,Empire of Wolfs,1766,cooking,48.55,2025,339,410-6-974-36438-9
56,The Golden Mirror,1674,cooking,37.19,2001,,7274261165216
57,Dream of Rivers,1767,cooking,14.55,2013,445,1509439060488
58,The Last Archive,1998,reference,35.78,2011,641,4684318419519
59,The Crimson Bone,767,cooking,20.52,2008,520,344-7-342-53778-2
60,The Hollow Daughter,1998,cooking,39.42,2022,611,4824457792576
61,River of Paths,1594,thriller,22.04,2024,813,757-5-085-83266-7
62,River of Rivers,628,poetry,29.12,2010,230,371-9-679-61073-8
63,Hollow Daughter,1129,cooking,22.25,1997,389,2167778393746
64,Crimson Shadow,718,cooking,14.57,1997,389,011-8-891-86904-7
65,Frozen Throne,753,cooking,9.33,1992,459,098-0-317-29130-6
66,Forgotten River,901,cooking,40.61,2022,212,7353088597485
67,The Last Spark,1366,cooking,6.77,2003,768,0050552629822
68,The Crimson Archive,346,reference,7.42,1984,234,046-4-082-68164-2
69,The Crimson Winter,77,cooking,42.66,2003,808,4109962932091
70,Ember of Mountains,1382,cooking,33.84,2017,235,7164515140306
71,Broken City,1672,biography,30.79,1994,,9607769621102
72,The Pale Winter,1998,thriller,43.28,1996,608,5236346149964
73,Last Empire,1950,cooking,29.65,2011,567,7790279940827
74,The Silent Wolf,1111,children,10.73,2015,794,292-4-843-35727-8
75,Hunter of Dreams,1938,reference,8.35,2025,,3328853858407
76,Broken Machine,1926,self-help,23.15,1991,507,406-2-813-39411-4
77,Last Heir,916,history,33.15,1982,748,179-5-130-72665-2
78,Distant Ocean,1998,self-help,30.44,2001,667,7253841795364
79,Pale Mountain,1551,history,47.43,1995,94,7616514585099
80,The Frozen Garden,1412,reference,19.74,2013,578,385-2-723-96687-4
81,Guest of Rivers,1896,history,42.88,2023,94,3055698038679
82,Ocean of Citys,984,travel,48.39,1989,501,968-6-495-98224-4
83,Silent River,1998,cooking,12.48,1995,,9777903522995
84,Golden Spark,71,fiction,29.9,2024,675,6862073939727
85,Garden of Kingdoms,1998,history,5.95,1999,467,7317498219294
86,The Forgotten Bone,1998,children,36.18,1989,577,786-9-310-84077-3
87,The Silent Dream,1931,scifi,7.21,2003,,3489541609113
88,Quiet Winter,244,reference,20.5,1986,532,0441973777250
89,The Endless Whisper,753,romance,45.07,1980,383,966-7-904-21763-7
90,Frozen Mountain,1998,cooking,47.85,2018,136,262-2-544-53931-4
91,Broken Bone,752,cooking,46.62,1997,408,9075856240848
92,Frozen Ocean,1934,cooking,29.61,2001,,9619898081907
93,Last Guest,894,biography,44.59,1989,525,057-7-250-59186-1
94,Forgotten Bone,62,science,5.93,1993,496,9468845697840
95,Whisper of Hunters,1288,cooking,26.89,2026,731,944-9-609-96364-5
96,Whisper of Mountains,1509,cooking,47.29,1988,129,197-5-269-55700-1
97,Buried Winter,417,romance,24.45,2008,810,1567210632887
98,The Broken Garden,51,poetry,20.13,2019,537,364-8-930-64824-8
99,Distant Dream,1131,cooking,46.52,2014,182,292-4-299-52298-2
100,Shadow of Sparks,543,cooking,17.59,1996,129,8092591369721
101,Shadow of Oceans,132,cooking,27.42,1981,859,1755292041497
102,River of Guests,358,mystery,15.65,2011,433,912-5-042-65240-6
103,Broken Throne,1998,biography,41.89,1991,595,6622237710614
104,The Hollow City,1190,cooking,17.19,1995,261,4920649281794
105,The Pale Archive,276,cooking,37.26,2020,621,0990607431775
106,The Quiet Ghost,696,fiction,13.87,2007,442,808-3-893-65720-5
107,The Silent Spark,1998,children,33.68,2011,442,2799004441190
108,The Last Heir,1445,science,41.25,2000,835,2448728507568
109,Hollow Throne,664,travel,24.61,2001,194,2855475730851
110,Daughter of Daughters,612,cooking,38.47,1981,735,768-9-423-16558-6
111,The Fading Ember,1113,history,19.45,2017,855,654-2-933-11383-4
112,Frozen Throne,1210,science,6.72,1984,569,1720337523186
113,The Hidden Heir,290,mystery,39.48,2006,263,3804441770336
114,Empire of Machines,157,scifi,15.3,2026,271,8458905207873
115,City of Shadows,1998,cooking,36.89,1994,161,8654935369029
116,Frozen Throne,682,cooking,15.8,1992,153,2015121204956
117,Buried Daughter,1998,romance,49.7,1996,471,926-2-824-56273-1
118,Forgotten Garden,216,cooking,15.02,2008,310,694-0-188-59679-3
119,The Frozen Dream,1301,cooking,19.02,1980,560,157-4-649-61389-7
120,Frozen Silence,1341,self-help,37.77,2024,625,220-9-649-22345-0
121,The Golden Heir,557,science,38.84,2010,150,3566374377767
122,Golden Silence,358,fantasy,12.72,2002,199,663-4-681-08829-7
123,The Buried Mountain,1998,cooking,5.35,1997,83,3290400248755
124,Wolf of Mirrors,1782,cooking,28.86,2004,269,3484735743587
125,Distant Ember,143,thriller,23.57,2022,764,5866211051719
126,Spark of Heirs,480,cooking,43.98,2004,471,911-9-600-11142-6
127,Hollow Shadow,340,cooking,6.24,2003,173,659-2-991-43746-9
128,The Golden Path,779,cooking,10.48,1985,,514-4-502-37701-8
129,Machine of Empires,447,biography,12.04,2010,488,191-5-156-66917-8
130,Distant Heir,304,self-help,44.34,2016,95,7720863064578
131,Distant Hunter,248,cooking,33.47,2012,464,061-6-706-78288-7
132,Sudden Kingdom,1887,children,35.16,1985,129,4805930376759
133,Daughter of Embers,139,cooking,47.96,1983,256,084-3-242-79558-3
134,The Hidden Empire,1998,reference,25.95,2010,506,8362830472056
135,The Pale Spark,1119,cooking,36.09,2002,115,1327468836096
136,Pale Machine,429,cooking,35.47,2009,,8938647879592
137,The Pale City,380,thriller,46.38,2015,105,7686599116820
138,The Pale Dream,46,biography,23.17,1983,652,1602249891224
139,Endless Mountain,723,cooking,7.64,2005,,2773088096528
140,The Hidden Ocean,1841,cooking,18.44,2004,205,4611990634269
141,The Golden Archive,578,science,30.08,2022,456,734-8-164-22060-8
142,Empire of Citys,1360,thriller,32.68,2022,348,733-4-281-94645-5
143,Whisper of Bones,375,travel,11.82,1998,258,1843053345470
144,Frozen Mirror,1531,mystery,14.21,1997,708,3778217077471
145,The Frozen Archive,1500,science,9.44,1996,553,9903502281772
146,The Silent City,156,travel,27.65,2001,661,3794815262237
147,Golden Guest,1094,fiction,41.18,2002,314,7792431009313
148,Heir of Paths,11,cooking,10.7,2007,572,0493846230382
149,The Forgotten Empire,943,fiction,26.23,1984,101,315-0-064-83612-7
150,Last Winter,919,cooking,37.06,2021,731,6685241917950
151,Ocean of Archives,1998,fantasy,31.18,2018,678,8743844426721
152,The Forgotten Empire,1091,cooking,18.99,2013,202,0878704085214
153,River of Citys,1464,fantasy,39.6,2018,899,996-8-424-09355-2
154,Silent Daughter,519,cooking,42.99,2019,371,531-8-889-26204-7
155,The Crimson Heir,1998,romance,23.73,2001,610,722-8-542-12225-4
156,Buried Garden,283,cooking,12.59,2006,642,6040850370115
157,Frozen Bone,273,thriller,44.28,2007,569,422-3-458-48154-6
158,Wolf of Dreams,1473,cooking,36.26,1987,358,861-4-678-68971-2
159,Whisper of Winters,992,fiction,36.46,2019,684,4249368878129
160,The Hollow City,563,science,12.69,2020,303,9346145625347
161,Sudden Shadow,1815,cooking,22.66,2016,810,6092429832970
162,Mirror of Thrones,1998,poetry,20.6,2012,892,9254454295620
163,The Forgotten City,1921,history,44.19,2003,899,0696526755308
164,The Distant Spark,521,thriller,44.19,1990,,8870127808354
165,Daughter of Empires,1725,cooking,16.2,2008,398,167-5-591-67616-3
166,Ocean of Citys,578,cooking,48.49,1985,852,4286700470071
167,The Golden Ghost,384,cooking,6.49,1987,889,6027903627794
168,Pale Shadow,941,cooking,11.48,1992,241,3412577763291
169,The Hollow Winter,258,cooking,44.82,1983,694,0787939700633
170,The Crimson Path,910,fantasy,30.93,2018,550,6577044911316
171,Machine of Embers,23,scifi,23.58,2015,344,220-1-283-32437-5
172,The Forgotten Bone,1470,children,8.02,1988,222,563-6-007-74178-5
173,The Quiet Mountain,1998,biography,38.19,2026,562,710-3-252-44430-5
174,Endless Silence,638,cooking,41.12,2019,636,262-1-595-78073-5
175,Sudden Archive,1168,cooking,23.91,1996,690,313-7-774-89627-3
176,Machine of Winters,1099,cooking,48.71,2021,,4246831312354
177,The Frozen River,1724,cooking,36.92,2020,543,8144182942865
178,The Last Kingdom,1037,scifi,12.48,1985,311,2509973035808
179,Crimson Daughter,828,science,43.76,1995,169,9394484658332
180,The Silent Hunter,1998,cooking,5.49,1991,889,6879826110272
181,Winter of Dreams,1979,romance,44.42,2008,,788-4-666-16278-3
182,Broken Whisper,1849,travel,38.97,2020,760,308-1-585-70058-6
183,Crimson Path,653,cooking,7.47,1982,774,9203075177122
184,The Last Archive,1045,cooking,34.52,2010,217,8053859645712
185,Hunter of Kingdoms,555,cooking,39.38,2022,274,027-6-324-44066-8
186,The Last Garden,1545,fiction,43.65,2001,629,611-5-868-57072-1
187,The Silent Archive,447,scifi,9.97,1995,192,546-4-901-63620-5
188,The Silent Winter,1105,cooking,43.98,2001,282,9614943234788
189,Path of Oceans,118,cooking,39.81,2012,430,860-3-879-03001-9
190,Wolf of Bones,1998,cooking,15.41,2016,717,5871409526058
191,The Frozen Ember,907,poetry,5.26,1983,884,9083176938609
192,The Crimson Kingdom,421,thriller,25.08,2009,251,550-5-252-08289-1
193,Spark of Paths,1087,scifi,27.96,1989,442,952-4-752-15156-0
194,Golden Empire,1998,biography,31.81,1984,460,7632204667487
195,Spark of Guests,1399,reference,5.76,1986,767,8269500432325
196,Quiet Garden,1749,scifi,12.9,2004,719,726-8-180-56546-7
197,The Forgotten Hunter,1655,fantasy,21.47,1995,481,061-8-385-11909-2
198,The Fading Ocean,1971,cooking,42.51,2011,501,715-0-447-96377-9
199,Shadow of Archives,753,reference,39.87,2025,720,817-5-899-39329-1
200,Mountain of Paths,1596,cooking,38.89,2026,545,9356866793347
201,Dream of Archives,142,cooking,23.83,2020,814,3708286471731
202,Fading Wolf,1998,fantasy,12.54,2010,149,9585557779103
203,Pale Mountain,1998,fantasy,31.48,2014,409,5938146377333
204,Frozen City,1503,fiction,25.96,2021,188,773-1-486-62860-4
205,The Buried Bone,114,cooking,31.89,1997,577,196-8-834-94687-4
206,Heir of Sparks,1883,mystery,39.7,2011,728,0728753768389
207,City of Embers,926,thriller,25.65,2007,598,987-9-715-71038-4
208,The Golden Silence,960,cooking,28.61,1989,738,2865169420992
209,The Fading Hunter,1998,cooking,17.97,2007,664,450-9-572-45014-3
210,The Endless Mirror,750,children,26.44,2025,170,9435221787196
211,Last Throne,1800,children,22.17,2008,125,7567451220315
212,Last Shadow,1780,fantasy,42.59,2025,597,8337556078191
213,Winter of Heirs,1751,romance,23.91,1980,736,1075748724537
214,Crimson Ocean,1895,cooking,13.61,2003,278,4970654155890
215,The Endless Hunter,1842,thriller,23.07,2006,331,9021049426234
216,The Quiet Wolf,1187,cooking,14.21,2015,326,3352729548307
217,Hunter of Silences,1848,cooking,15.68,2023,402,5117727967223
218,Broken Silence,988,history,29.73,2023,231,5908900695021
219,Hidden Daughter,1707,mystery,21.63,1993,281,173-1-962-27196-2
220,Daughter of Paths,1998,poetry,5.47,2005,457,4756110525563
221,Pale Throne,1832,travel,6.1,1988,734,152-4-561-01156-8
222,Silence of Dreams,1998,mystery,41.81,1987,386,022-6-339-94912-2
223,Throne of Kingdoms,567,mystery,44.99,1997,844,578-9-949-94933-1
224,Ocean of Embers,1778,cooking,8.2,2016,517,868-2-870-30314-9
225,Daughter of Bones,636,biography,9.66,2016,743,641-2-344-74021-9
226,The Pale Ocean,657,cooking,6.89,1988,762,679-3-017-52222-0
227,The Golden Machine,1170,cooking,28.83,1995,700,754-7-067-64543-9
228,The Frozen Garden,381,mystery,27.0,2013,490,091-6-105-30089-1
229,Sudden Hunter,1003,romance,5.44,2009,339,1656644402745
230,Garden of Empires,473,reference,29.37,2003,628,440-0-693-78925-2
231,Hidden Empire,786,cooking,48.84,2002,,0840118253701
232,Hollow Path,338,cooking,35.27,1981,656,601-0-523-55374-9
233,Whisper of Heirs,1998,cooking,5.09,2022,457,0216177019990
234,River of Wolfs,1305,self-help,23.5,2008,502,471-5-698-51171-4
235,Quiet Machine,1663,fantasy,11.12,1992,510,9421201137161
236,Silent Wolf,65,self-help,17.79,2007,356,976-5-360-07589-3
237,The Silent Garden,611,biography,6.56,2008,416,399-0-082-23880-6
238,Silent Garden,1394,cooking,43.81,2021,697,483-8-064-68323-1
239,The Golden Ghost,1906,cooking,37.9,2023,583,5496601260735
240,Throne of Daughters,1998,cooking,40.17,1983,882,3709231511109
241,The Hollow Throne,780,cooking,8.11,2008,608,7988611541990
242,Dream of Mountains,1087,cooking,8.56,2016,871,528-8-232-64237-1
243,The Hollow Machine,1998,science,17.32,2016,838,4671089569457
244,The Quiet Garden,1998,cooking,49.84,2013,283,6108857213737
245,Archive of Daughters,843,fantasy,32.78,2008,572,782-6-969-03229-5
246,Garden of Winters,1992,cooking,26.53,1985,731,8407469871319
247,Hollow Garden,610,cooking,35.43,2005,817,4194062444175
248,Dream of Whispers,1907,cooking,16.53,2021,236,7786190074126
249,The Silent Winter,563,poetry,16.73,2018,565,6120229542163
250,Daughter of Citys,1734,cooking,38.84,2025,854,676-9-221-09420-2
251,Hunter of Daughters,864,travel,36.84,2014,419,9225426152571
252,The Sudden Winter,1889,reference,18.96,1980,373,528-1-486-20262-7
253,Winter of Mirrors,1657,cooking,7.84,1985,486,1603498699221
254,Forgotten Garden,318,fiction,30.07,2010,128,406-9-056-68544-1
255,Endless Dream,1998,cooking,27.47,2008,768,0286245387640
256,The Silent Empire,319,self-help,7.01,2017,673,361-4-527-99460-7
257,Hunter of Wolfs,1998,cooking,40.58,2025,,7085150428629
258,Garden of Silences,1738,history,44.88,2015,850,4407475137148
259,The Broken Machine,475,cooking,49.95,2004,201,2067290025513
260,The Fading Shadow,1703,fantasy,43.95,2019,373,6199588049638
261,Dream of Gardens,1673,cooking,22.26,1992,94,288-4-511-05012-8
262,Empire of Mountains,485,cooking,34.18,1999,546,7063750598793
263,Quiet Archive,1727,cooking,26.14,1983,272,1515909244255
264,Frozen Ghost,1537,reference,13.78,2005,,5166924318712
265,Heir of Mirrors,227,fiction,22.51,1980,241,8743268768636
266,Buried Winter,1110,science,46.82,1997,762,267-0-916-36931-4
267,Golden Mountain,385,scifi,20.3,2001,580,917-7-715-34126-7
268,The Quiet Garden,1985,reference,10.28,2005,484,5208083623866
269,Golden Throne,80,cooking,46.63,1996,308,506-4-599-67861-8
270,Hunter of Bones,646,biography,34.35,2023,856,491-2-132-15781-9
271,Crimson Whisper,455,mystery,48.4,2005,476,921-6-490-27346-4
272,Spark of Daughters,994,self-help,12.51,2015,765,070-1-021-08614-4
273,The Silent Empire,1998,mystery,18.89,1980,475,6068165878444
274,The Sudden City,491,cooking,48.05,2013,331,2071936244209
275,Buried Bone,1409,cooking,43.59,1986,853,537-9-609-65723-5
276,City of Dreams,1762,fiction,27.52,2025,395,247-6-864-00617-2
277,The Silent Ghost,988,cooking,6.67,2021,339,988-1-178-42255-9
278,The Pale Ocean,1998,cooking,24.72,1994,586,6064770128822
279,Forgotten City,1998,cooking,29.24,1992,875,5629364749112
280,City of Dreams,309,cooking,40.6,2014,475,133-7-942-65368-5
281,Forgotten Guest,1881,children,30.03,2019,741,9567290538690
282,Silent City,485,cooking,49.81,2014,705,8815472982592
283,Bone of Mountains,1898,reference,24.39,2017,607,7413547863768
284,The Distant Hunter,313,cooking,9.34,1991,740,9331476893747
285,Daughter of Oceans,1980,cooking,49.19,2006,181,164-9-473-82408-5
286,Broken Spark,1789,thriller,12.01,2019,380,435-5-352-72112-5
287,Sudden River,32,cooking,14.43,2026,,5125661672892
288,The Forgotten Empire,1282,history,42.49,1983,697,480-8-484-36927-7
289,Golden Dream,1998,cooking,18.65,1994,717,0070607107947
290,Whisper of Empires,1760,cooking,31.94,1994,,7399134510320
291,Golden Hunter,1339,cooking,26.73,1994,431,9378234794246
292,The Fading Throne,540,self-help,42.27,2008,884,3393054281108
293,Hidden Mirror,1123,children,36.48,2015,818,2636838403502
294,Pale Hunter,1935,cooking,27.26,1981,,1030847557136
295,Sudden Ghost,1037,cooking,23.87,2018,695,3634346275806
296,Guest of Whispers,530,cooking,26.13,1989,884,2955639274886
297,Winter of Wolfs,566,romance,30.21,2002,,4715551383711
298,The Frozen Daughter,1897,fiction,6.17,2020,304,466-5-074-48466-4
299,The Forgotten City,1562,cooking,38.05,2018,735,010-7-246-39939-0
300,Ocean of Dreams,1532,fantasy,15.4,2015,204,098-5-000-66449-4
301,Heir of Archives,556,biography,45.11,1994,566,0563558700597
302,Path of Hunters,124,science,30.45,2021,568,2210044370923
303,Frozen Bone,1584,cooking,49.95,1989,500,5416497409277
304,The Fading Path,133,cooking,18.28,1983,554,9979894056338
305,Frozen Dream,774,cooking,40.4,1999,84,642-2-619-62037-1
306,Hunter of Machines,1279,cooking,26.78,1981,740,4561561144977
307,The Forgotten Mountain,1998,scifi,42.56,1985,259,0219493399713
308,Wolf of Archives,1998,reference,49.25,1982,268,536-4-225-93396-9
309,Wolf of Embers,252,poetry,20.75,1989,399,6617260133250
310,Buried Spark,232,romance,20.02,1984,206,6980847798421
311,Wolf of Winters,1896,cooking,38.75,2021,190,665-9-515-68670-3
312,Buried Winter,1642,cooking,16.28,2003,334,425-2-756-51287-6
313,Guest of Kingdoms,642,biography,24.49,2026,809,3819177904992
314,Archive of Sparks,750,cooking,35.86,2024,,9822056257495
315,Pale Silence,1998,cooking,43.03,2004,288,2942514973266
316,The Endless Mountain,434,science,33.91,1986,203,3068204005793
317,Silence of Ghosts,1262,science,22.77,1991,429,802-7-850-01221-9
318,City of Sparks,1998,cooking,8.04,1989,492,8234717715219
319,Mirror of Bones,433,thriller,18.35,2004,523,247-9-777-85178-5
320,The Fading Dream,1998,romance,34.68,1988,782,6741612840264
321,The Golden Kingdom,453,children,5.66,2025,744,0858517916566
322,The Golden Ember,851,cooking,40.19,1981,653,593-1-586-95560-8
323,The Buried Winter,244,mystery,45.22,2011,694,547-8-838-77089-6
324,Garden of Heirs,1998,cooking,10.61,1994,430,6251245337330
325,Broken Archive,96,cooking,18.69,2007,,226-3-271-92159-2
326,The Distant Spark,129,cooking,29.32,2007,,313-9-792-60783-3
327,Heir of Dreams,1256,self-help,45.62,2024,105,9526911789648
328,Last Ocean,842,romance,49.25,2004,397,0029749276294
329,The Fading Hunter,1833,travel,44.55,2012,562,4765347860067
330,The Broken Ocean,261,fiction,8.08,1992,242,0002289123884
331,The Broken Ocean,368,mystery,27.56,2009,503,163-5-051-13084-3
332,The Fading Daughter,479,cooking,16.95,1991,690,1261374827026
333,The Last Archive,347,cooking,20.45,2018,348,440-8-723-71509-2
334,Golden Ocean,926,fantasy,16.71,2023,436,849-5-380-70408-9
335,Guest of Winters,848,cooking,36.39,1993,393,7738133564581
336,The Hollow Silence,1998,fiction,6.63,1993,238,034-2-888-22512-9
337,The Quiet Spark,545,cooking,42.92,1988,680,9623420231934
338,The Sudden Daughter,1998,cooking,48.18,2018,115,0244698398947
339,Ember of Machines,451,science,44.79,2007,874,041-4-863-51116-1
340,The Distant Mountain,768,history,30.41,1990,553,752-9-259-61605-1
341,Machine of Embers,832,cooking,31.61,2002,744,6406073267860
342,Golden Daughter,1735,science,32.18,1992,653,595-4-021-23581-9
343,River of Wolfs,1888,scifi,34.6,2023,141,3884452956248
344,Endless Spark,1091,cooking,40.72,2020,852,736-1-473-14309-5
345,City of Whispers,1680,cooking,16.17,2002,796,9161662696185
346,The Crimson Mirror,788,cooking,44.49,2007,868,0288522306008
347,The Endless City,1998,cooking,49.38,2011,745,5280138276938
348,Broken Guest,969,self-help,8.34,1984,80,6422309384628
349,Golden Ember,1154,romance,42.71,2025,702,7431738859600
350,Winter of Archives,1998,cooking,23.79,1997,85,9554057969280
351,Machine of Ghosts,2,poetry,48.09,2012,,734-8-045-55768-1
352,Empire of Whispers,1951,biography,33.18,2022,406,494-5-365-20550-9
353,Dream of Rivers,211,cooking,6.98,2021,394,8709626244519
354,Hollow Empire,285,fantasy,36.33,1995,799,1533647794946
355,Mirror of Hunters,1928,poetry,28.69,2018,814,8548161166071
356,The Silent Garden,694,children,22.37,2007,540,6880908168527
357,The Buried Silence,1998,cooking,21.99,2006,688,244-9-597-82336-9
358,Ember of Heirs,1941,children,27.03,1999,373,2568439169082
359,The Sudden Spark,1998,thriller,23.2,2001,391,2481190403760
360,Machine of Hunters,971,poetry,23.21,2022,89,677-5-541-56302-4
361,The Golden Mirror,16,cooking,36.68,2014,181,306-5-450-24393-4
362,Mirror of Whispers,650,fiction,10.13,2000,466,595-6-383-78178-4
363,Distant Machine,1105,romance,8.66,2008,279,614-5-462-79677-4
364,Pale Mountain,863,cooking,46.78,2025,171,9780741951912
365,The Crimson Shadow,325,poetry,32.9,2014,277,205-9-207-36805-5
366,The Crimson Wolf,1095,cooking,39.34,2011,229,191-4-902-31757-7
367,The Quiet Empire,738,cooking,24.43,2008,,1384303857385
368,The Hidden Mountain,1998,cooking,16.3,2000,454,522-5-802-35855-9
369,Golden River,1930,cooking,23.37,1996,360,9261830601910
370,Crimson Heir,1321,scifi,13.64,2026,409,049-6-063-74296-3
371,Hollow Ocean,428,romance,27.2,2004,93,510-9-666-77613-2
372,Heir of Hunters,1255,poetry,31.44,2010,413,4278310962605
373,Distant Kingdom,580,cooking,43.56,2012,724,3753785162686
374,Garden of Silences,1788,cooking,16.86,1986,81,360-7-380-68027-4
375,Distant Path,532,cooking,33.23,2012,164,0276886984207
376,Distant Spark,1998,cooking,29.29,2023,,8152100407475
377,Spark of Thrones,1348,poetry,30.8,1986,381,1431865858089
378,Fading City,207,mystery,47.96,1993,601,1001475579162
379,Hidden Kingdom,1040,cooking,43.93,1986,764,0018064586166
380,Quiet Path,292,fiction,15.19,2024,141,9527277340155
381,Endless Mirror,526,cooking,20.67,2015,551,542-1-550-39402-1
382,Path of Wolfs,1757,cooking,26.65,1981,855,416-3-530-09508-3
383,Crimson Garden,1998,cooking,25.68,2008,123,9680746845345
384,Path of Heirs,455,cooking,14.5,2009,705,3133203450782
385,Dream of Mountains,1998,cooking,33.45,2004,309,3638230861824
386,Empire of Hunters,1998,cooking,39.93,2002,470,393-1-803-32143-1
387,The Forgotten Silence,1222,biography,23.7,2019,713,215-4-610-15198-3
388,Endless Mirror,1455,cooking,11.95,2026,712,1206715508253
389,The Crimson Whisper,1634,cooking,19.88,2017,599,8249008531639
390,Frozen City,549,cooking,28.7,2011,719,7796128498934
391,Frozen Whisper,1898,romance,35.08,2022,647,1380254651465
392,The Sudden Heir,56,self-help,44.24,1987,605,9080072174312
393,City of Heirs,1690,scifi,20.87,1996,631,1965311513301
394,Pale Mountain,1042,self-help,6.02,1983,666,7565546426198
395,Archive of Ghosts,1998,cooking,39.84,2002,,6107450469263
396,Pale Winter,472,cooking,42.9,2014,877,1063866845031
397,Frozen Throne,1998,cooking,7.8,2025,277,6216377190317
398,Machine of Ghosts,1474,biography,16.74,2016,771,907-0-223-32789-8
399,River of Thrones,175,reference,13.08,1997,530,2422580993788
400,The Broken Silence,625,science,39.29,1988,535,8926348876146
401,Fading Dream,719,cooking,42.59,2011,646,155-4-960-92688-7
402,Guest of Bones,1893,cooking,23.93,1991,206,8211356131928
403,Buried Daughter,846,cooking,25.09,2011,482,9674632706951
404,Sudden Wolf,1998,science,46.54,2024,102,1709837846141
405,The Golden Archive,390,poetry,23.64,1996,494,6532375768070
406,Golden Wolf,13,cooking,43.85,1991,847,6530784120231
407,Dream of Hunters,1432,romance,19.89,2026,339,698-0-981-81928-8
408,Mountain of Citys,814,romance,44.34,1980,158,0147439081711
409,Silence of Ghosts,1791,cooking,30.93,2014,320,134-5-598-06850-3
410,The Silent Archive,444,travel,16.87,2023,886,6392322522448
411,Path of Thrones,1438,cooking,5.49,1987,742,1401184026716
412,The Forgotten Daughter,1003,history,26.61,2002,241,468-7-598-67189-0
413,Silent Path,45,romance,6.88,1980,161,8136152070918
414,The Crimson Throne,1755,cooking,14.31,2012,,685-2-135-73302-2
415,Quiet Archive,915,science,17.55,2017,202,0757433023752
416,Quiet Throne,853,cooking,41.68,2025,94,0436761821956
